state,ADOM,BDOM,HSGOM
AL,7.7,22.0,82.1
AK,9.0,26.6,91.4
AZ,9.3,25.6,84.2
AR,6.1,18.9,82.4
CA,10.7,29.9,80.6
CO,12.7,35.9,89.3
CT,15.5,35.6,88.6
DE,11.4,28.7,87.4
DC,28.0,48.5,87.1
FL,9.0,25.3,85.3
GA,9.9,27.5,83.9
HI,9.9,29.6,90.4
ID,7.5,23.9,88.4
IL,11.7,30.6,86.4
IN,8.1,22.5,86.6
IA,7.4,25.1,90.5
KS,10.2,29.5,89.7
KY,8.5,21.0,81.7
LA,6.9,21.4,82.2
ME,9.6,26.9,90.2
MD,16.0,35.7,88.2
MA,16.4,38.2,89.0
MI,9.4,24.6,87.9
MN,10.3,31.5,91.5
MS,7.1,19.6,80.4
MO,9.5,25.2,86.8
MT,8.3,27.4,90.8
NE,8.8,27.4,89.8
NV,7.6,21.8,83.9
NH,11.2,32.0,91.3
NJ,12.9,34.5,87.4
NM,10.4,25.3,82.8
NY,14.0,32.4,84.7
NC,8.8,26.5,84.3
ND,6.7,25.8,90.1
OH,8.8,24.1,87.6
OK,7.4,22.7,85.6
OR,10.4,29.2,89.1
PA,10.2,26.4,87.9
RI,11.7,30.5,84.7
SC,8.4,24.3,83.6
SD,7.3,25.1,89.9
TN,7.9,23.0,83.1
TX,8.5,25.5,79.9
UT,9.1,28.5,90.4
VT,13.3,33.1,91.0
VA,14.1,34.0,86.6
WA,11.1,31.0,89.7
WV,6.7,17.3,82.8
WI,8.4,25.7,89.8
WY,7.9,23.8,91.8
