state,ADOM,BDOM,HSGOM
AL,6.9,19.0,75.3
AK,8.6,24.7,88.3
AZ,8.4,23.5,81.0
AR,5.7,16.7,75.3
CA,9.5,26.6,76.8
CO,11.1,32.7,86.9
CT,13.3,31.4,84.0
DE,9.4,25.0,82.6
DC,21.0,39.1,77.8
FL,8.1,22.3,79.9
GA,8.3,24.3,78.6
HI,8.4,26.2,84.6
ID,6.8,21.7,84.7
IL,9.5,26.1,81.4
IN,7.2,19.4,82.1
IA,6.5,21.2,86.1
KS,8.7,25.8,86.0
KY,6.9,17.1,74.1
LA,6.5,18.7,74.8
ME,7.9,22.9,85.4
MD,13.4,31.4,83.8
MA,13.7,33.2,84.8
MI,8.1,21.8,83.4
MN,8.3,27.4,87.9
MS,5.8,16.9,72.9
MO,7.6,21.6,81.3
MT,7.2,24.4,87.2
NE,7.3,23.7,86.6
NV,6.1,18.2,80.7
NH,10.0,28.7,87.4
NJ,11.0,29.8,82.1
NM,9.8,23.5,78.9
NY,11.8,27.4,79.1
NC,7.2,22.5,78.1
ND,5.5,22.0,83.9
OH,7.4,21.1,83.0
OK,6.8,20.3,80.6
OR,8.7,25.1,85.1
PA,8.4,22.4,81.9
RI,9.7,25.6,78.0
SC,6.9,20.4,76.3
SD,6.0,21.5,84.6
TN,6.8,19.6,75.9
TX,7.6,23.2,75.7
UT,8.3,26.1,87.7
VT,11.1,29.4,86.4
VA,11.6,29.5,81.5
WA,9.3,27.7,87.1
WV,5.9,14.8,75.2
WI,7.2,22.4,85.1
WY,7.0,21.9,87.9
