state,ADOM,BDOM,HSGOM
AL,5.5,15.7,66.9
AK,8.0,23.0,86.6
AZ,7.0,20.3,78.7
AR,4.5,13.3,66.3
CA,8.1,23.4,76.2
CO,9.0,27.0,84.4
CT,11.0,27.2,79.2
DE,7.7,21.4,77.5
DC,17.2,33.3,73.1
FL,6.3,18.3,74.4
GA,6.4,19.3,70.9
HI,7.1,22.9,80.1
ID,5.3,17.7,79.7
IL,7.5,21.0,76.2
IN,6.4,15.6,75.6
IA,5.2,16.9,80.1
KS,7.0,21.1,81.3
KY,5.5,13.6,64.6
LA,5.6,16.1,68.3
ME,6.1,18.8,78.8
MD,10.9,26.5,78.4
MA,10.6,27.2,80.0
MI,6.4,17.4,76.8
MN,6.3,21.8,82.4
MS,5.1,14.7,64.3
MO,6.1,17.8,73.9
MT,5.7,19.8,81.0
NE,5.9,18.9,81.8
NV,5.2,15.3,78.8
NH,7.9,24.4,82.2
NJ,8.8,24.9,76.7
NM,8.3,20.4,75.1
NY,9.9,23.1,74.8
NC,5.4,17.4,70.0
ND,4.5,18.1,76.7
OH,5.9,17.0,75.7
OK,6.0,17.8,74.6
OR,7.0,20.6,81.5
PA,6.6,17.9,74.7
RI,7.8,21.3,72.0
SC,5.4,16.6,68.3
SD,4.9,17.2,77.1
TN,5.4,16.0,67.1
TX,6.5,20.3,72.1
UT,6.8,22.3,85.1
VT,8.9,24.3,80.8
VA,9.1,24.5,75.2
WA,7.0,22.9,83.8
WV,4.8,12.3,66.0
WI,5.6,17.7,78.6
WY,5.7,18.8,83.0
