state,ADOM,BDOM,HSGOM
AL,7.7,22.0,81.9
AK,9.7,27.3,91.6
AZ,9.2,25.1,83.8
AR,6.3,18.8,82.0
CA,10.8,29.6,80.2
CO,12.7,35.6,88.9
CT,15.2,35.6,88.6
DE,10.8,27.5,87.2
DC,26.7,48.2,85.8
FL,9.0,25.8,85.2
GA,9.7,27.5,83.9
HI,9.9,29.1,90.3
ID,7.4,24.0,87.9
IL,11.2,29.9,85.9
IN,8.1,22.9,86.2
IA,7.3,24.3,90.3
KS,10.1,29.6,89.5
KY,7.9,19.7,81.3
LA,6.5,20.3,81.2
ME,8.9,25.4,89.7
MD,15.4,35.2,88.0
MA,16.4,38.1,88.7
MI,9.4,24.7,88.1
MN,10.0,31.5,91.6
MS,6.8,19.4,79.9
MO,9.1,25.0,86.5
MT,8.4,27.1,90.9
NE,8.6,27.1,90.1
NV,7.0,21.9,83.5
NH,12.0,33.3,90.9
NJ,12.8,34.4,87.4
NM,10.7,24.7,82.4
NY,13.8,31.9,84.1
NC,8.6,26.1,83.6
ND,6.6,26.9,89.6
OH,8.7,24.1,87.6
OK,7.2,22.2,85.5
OR,10.1,28.1,88.6
PA,10.0,26.3,87.5
RI,11.3,30.0,83.7
SC,8.5,23.7,83.2
SD,7.3,25.1,90.3
TN,8.0,22.9,83.0
TX,8.3,25.3,79.6
UT,9.4,29.1,90.4
VT,12.2,32.1,90.6
VA,13.8,33.7,85.9
WA,10.9,30.7,89.6
WV,6.7,17.1,82.2
WI,8.6,25.7,89.6
WY,7.9,23.6,91.7
