state,ADOM,BDOM,HSGOM
AL,8.0,21.4,80.4
AK,9.9,26.0,90.5
AZ,9.2,25.3,83.5
AR,6.5,19.3,81.1
CA,10.5,29.5,80.2
CO,12.5,35.0,88.9
CT,15.4,34.7,88.0
DE,10.4,26.1,87.4
DC,26.0,47.5,85.7
FL,8.9,25.8,84.9
GA,9.5,27.1,82.9
HI,9.9,29.2,89.4
ID,7.6,24.5,88.4
IL,11.0,29.5,85.7
IN,7.9,22.1,85.8
IA,7.5,24.3,89.6
KS,9.8,28.8,89.1
KY,8.0,20.0,80.1
LA,6.6,20.4,79.9
ME,9.2,26.7,89.4
MD,15.7,35.2,87.4
MA,16.0,37.9,88.4
MI,9.5,24.7,87.4
MN,10.0,31.0,91.0
MS,6.4,18.9,78.5
MO,8.9,24.5,85.6
MT,8.6,27.0,90.0
NE,8.8,27.5,89.6
NV,7.5,21.8,83.7
NH,11.5,32.5,90.5
NJ,12.7,33.9,87.0
NM,10.2,24.8,82.3
NY,13.5,31.7,84.1
NC,8.6,25.6,83.0
ND,6.4,25.7,89.0
OH,8.8,24.1,87.1
OK,7.6,22.8,84.8
OR,10.3,28.3,88.0
PA,9.9,25.8,86.8
RI,11.8,29.8,83.0
SC,8.2,23.5,82.1
SD,7.0,25.0,88.2
TN,7.6,21.8,81.4
TX,8.2,25.2,79.1
UT,9.1,28.7,90.2
VT,12.9,33.6,90.3
VA,13.7,33.6,85.9
WA,10.8,30.3,89.3
WV,6.6,17.3,81.2
WI,8.5,25.4,89.0
WY,7.7,23.4,91.2
